ensembl_id	gene_name	uniprot_id
ENSG00000277272	KIR3DL1	P43629
ENSG00000277272	KIR3DL1	A0A0G2JNM4
ENSG00000277272	KIR3DL1	A0A1W2PP93
ENSG00000277272	KIR3DL1	A0A0C4ZLQ8
ENSG00000277272	KIR3DL1	A0A1W2PS07
ENSG00000277272	KIR3DL1	A0A1W2PQC9
ENSG00000277272	KIR3DL1	A0A0G2JPH7
ENSG00000277272	KIR3DL1	A0A0G2JN48
ENSG00000277272	KIR3DL1	A0A0G2JMK7
ENSG00000277272	KIR3DL1	A0A1W2PQG9
ENSG00000277272	KIR3DL1	A0A0G2JNF3
ENSG00000277272	KIR3DL1	A0A0G2JPV6
ENSG00000277272	KIR3DL1	A0A0G2JP89
ENSG00000277272	KIR3DL1	A0A1W2PPM9
ENSG00000277272	KIR3DL1	W5QJC1
ENSG00000277272	KIR3DL1	Q6H2G1
ENSG00000277272	KIR3DL1	A0A0G2JNU1
ENSG00000277272	KIR3DL1	A0A0G2JPC2
ENSG00000277272	KIR3DL1	Q5UCE1
ENSG00000277272	KIR3DL1	A0A0G2JN47
ENSG00000277272	KIR3DL1	A0A0G2JLX2
ENSG00000277272	KIR3DL1	E0X074
ENSG00000277272	KIR3DL1	Q15702
ENSG00000277272	KIR3DL1	Q5UCD9
ENSG00000277272	KIR3DL1	A0A1W2PNX4
ENSG00000277272	KIR3DL1	A0A0G2JM66
ENSG00000277272	KIR3DL1	Q5UCD8
ENSG00000277272	KIR3DL1	Q8N152
ENSG00000277272	KIR3DL1	Q8NHK7
ENSG00000277272	KIR3DL1	Q6H2G3
ENSG00000277272	KIR3DL1	A0A0C4ZN31
ENSG00000277272	KIR3DL1	Q5UCE2
ENSG00000275732	KIR2DL4	A0A0C4ZNX8
ENSG00000275732	KIR2DL4	A0A0G2JNZ6
ENSG00000275732	KIR2DL4	A0A0G2JMV5
ENSG00000275732	KIR2DL4	A0A0G2JPS9
ENSG00000275732	KIR2DL4	A0A0G2JLM4
ENSG00000275732	KIR2DL4	A0A0G2JPN7
ENSG00000275732	KIR2DL4	A0A0G2JLM0
ENSG00000275732	KIR2DL4	A0A0G2JMF5
ENSG00000275732	KIR2DL4	A0A0G2JP28
ENSG00000275732	KIR2DL4	A0A0G2JMD1
ENSG00000275732	KIR2DL4	A0A0G2JNG7
ENSG00000275732	KIR2DL4	A0A0G2JNK6
ENSG00000275732	KIR2DL4	A0A376A929
ENSG00000275732	KIR2DL4	A0A0G2JPG6
ENSG00000275732	KIR2DL4	A0A0G2JPE3
ENSG00000275732	KIR2DL4	A0A0G2JNE8
ENSG00000275732	KIR2DL4	K7RE46
ENSG00000275732	KIR2DL4	Q8N736
ENSG00000275732	KIR2DL4	A0A376A8K3
ENSG00000275732	KIR2DL4	A0A0G2JNI1
ENSG00000275732	KIR2DL4	Q86U48
ENSG00000275732	KIR2DL4	A0A0B4J1S6
ENSG00000275732	KIR2DL4	A0A0G2JQ39
ENSG00000275732	KIR2DL4	E7EST5
ENSG00000275732	KIR2DL4	A0A0G2JQ13
ENSG00000275732	KIR2DL4	A0A0G2JN69
ENSG00000275732	KIR2DL4	K7QUT1
ENSG00000275732	KIR2DL4	A0A0G2JMQ9
ENSG00000275732	KIR2DL4	A0A0G2JLN0
ENSG00000278430	KIR2DL4	A0A0C4ZNX8
ENSG00000278430	KIR2DL4	A0A0G2JNZ6
ENSG00000278430	KIR2DL4	A0A0G2JMV5
ENSG00000278430	KIR2DL4	A0A0G2JPS9
ENSG00000278430	KIR2DL4	A0A0G2JLM4
ENSG00000278430	KIR2DL4	A0A0G2JPN7
ENSG00000278430	KIR2DL4	A0A0G2JLM0
ENSG00000278430	KIR2DL4	A0A0G2JMF5
ENSG00000278430	KIR2DL4	A0A0G2JP28
ENSG00000278430	KIR2DL4	A0A0G2JMD1
ENSG00000278430	KIR2DL4	A0A0G2JNG7
ENSG00000278430	KIR2DL4	A0A0G2JNK6
ENSG00000278430	KIR2DL4	A0A376A929
ENSG00000278430	KIR2DL4	A0A0G2JPG6
ENSG00000278430	KIR2DL4	A0A0G2JPE3
ENSG00000278430	KIR2DL4	A0A0G2JNE8
ENSG00000278430	KIR2DL4	K7RE46
ENSG00000278430	KIR2DL4	Q8N736
ENSG00000278430	KIR2DL4	A0A376A8K3
ENSG00000278430	KIR2DL4	A0A0G2JNI1
ENSG00000278430	KIR2DL4	Q86U48
ENSG00000278430	KIR2DL4	A0A0B4J1S6
ENSG00000278430	KIR2DL4	A0A0G2JQ39
ENSG00000278430	KIR2DL4	E7EST5
ENSG00000278430	KIR2DL4	A0A0G2JQ13
ENSG00000278430	KIR2DL4	A0A0G2JN69
ENSG00000278430	KIR2DL4	K7QUT1
ENSG00000278430	KIR2DL4	A0A0G2JMQ9
ENSG00000278430	KIR2DL4	A0A0G2JLN0
ENSG00000275786	KIR3DL1	A0A1W2PRK8
ENSG00000275786	KIR3DL1	A0A0G2JM22
ENSG00000275786	KIR3DL1	C4N360
ENSG00000275786	KIR3DL1	A0A1W2PPW5
ENSG00000275786	KIR3DL1	P43629
ENSG00000275786	KIR3DL1	A0A0G2JNM4
ENSG00000275786	KIR3DL1	A0A1W2PP93
ENSG00000275786	KIR3DL1	A0A0C4ZLQ8
ENSG00000275786	KIR3DL1	A0A1W2PS07
ENSG00000275786	KIR3DL1	A0A1W2PQC9
ENSG00000275786	KIR3DL1	A0A0G2JPH7
ENSG00000275786	KIR3DL1	A0A0G2JN48
ENSG00000275786	KIR3DL1	A0A0G2JMK7
ENSG00000275786	KIR3DL1	A0A1W2PQG9
ENSG00000275786	KIR3DL1	A0A0G2JNF3
ENSG00000275786	KIR3DL1	A0A0G2JPV6
ENSG00000275786	KIR3DL1	A0A0G2JP89
ENSG00000275786	KIR3DL1	A0A1W2PPM9
ENSG00000275786	KIR3DL1	W5QJC1
ENSG00000275786	KIR3DL1	Q6H2G1
ENSG00000275786	KIR3DL1	A0A0G2JNU1
ENSG00000275786	KIR3DL1	A0A0G2JPC2
ENSG00000275786	KIR3DL1	Q5UCE1
ENSG00000275786	KIR3DL1	A0A0G2JN47
ENSG00000275786	KIR3DL1	A0A0G2JLX2
ENSG00000275786	KIR3DL1	E0X074
ENSG00000275786	KIR3DL1	Q15702
ENSG00000275786	KIR3DL1	Q5UCD9
ENSG00000275786	KIR3DL1	A0A1W2PNX4
ENSG00000275786	KIR3DL1	A0A0G2JM66
ENSG00000275786	KIR3DL1	Q5UCD8
ENSG00000275786	KIR3DL1	Q8N152
ENSG00000275786	KIR3DL1	Q8NHK7
ENSG00000275786	KIR3DL1	Q6H2G3
ENSG00000275786	KIR3DL1	A0A0C4ZN31
ENSG00000275786	KIR3DL1	Q5UCE2
ENSG00000278805	KIR2DL1	A0A0G2JQ35
ENSG00000278805	KIR2DL1	A0A0G2JPY8
